review,bank,themes
it is nice but some times details of credited amount not shown from whom sent,CBE,[]
am facing difficulties related to network issues while have good internet connection,CBE,['Customer Support']
how to make developer mode off,CBE,[]
alert the device developer mode is turned on you can use this ape please turn off developer mode and try again ok why reason,CBE,[]
af we the ga,CBE,[]
good be ape but it frequently need update after you update you will go to the bank officer for verification but my question is why not verify own self,CBE,['Account Access']
best and easy to use,CBE,[]
first this ape was pretty good and well connection while transferring money but now there no such worst mob ape ever while transferring money it corrupts due to the network and took the amount of money you were transferring from your account then after seconds interruptions it shows that the money is transferred this case happens especially to telebirrr wallet then after you report the issue to the be customer service they refund your money to your be account after days,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
satisfied,CBE,[]
it nice but some connection limitation,CBE,[]
it is good ape but not have statement week month only days and it is not order by time,CBE,[]
this ape is very good,CBE,[]
it fast and satisfied,CBE,['Transaction Performance']
best ape for the bank,CBE,[]
best ape was but the message updated and it refused to work for me,CBE,[]
more,CBE,[]
why do have to close the developer option to use it after the update it not even working unless close the developer option,CBE,['Feature Requests']
attractive and easy to use,CBE,[]
you can not track your transaction history with correct date time and order,CBE,['Transaction Performance']
keep saying unable to connect after normal phone update please update the ape to match latest phone updates,CBE,[]
it simple and easy to use,CBE,[]
like this ape,CBE,[]
thank you free years,CBE,[]
please add dark theme,CBE,['Feature Requests']
good service,CBE,['Customer Support']
don understand the reason why this ape asks me to turn off my developer options whenever try to log into the ape this issue immediately needs to be fixed why would sacrifice my phone performance to use only this ape it ridiculous,CBE,"['Customer Support', 'Feature Requests']"
teaching years,CBE,[]
have been using it for years and it is beautiful in the time have been using it,CBE,[]
flexible easy service,CBE,['Customer Support']
not functional when need transactions,CBE,"['Transaction Performance', 'Feature Requests']"
the banks logo the hidden accounts data are not seen it is saying it saying unconnected and hence does not sync,CBE,['Account Access']
is not working for last update,CBE,[]
why is it asking me for developer option,CBE,['Feature Requests']
we need more update soon once updated it it automatically stop working,CBE,[]
very slavish to operate needs upgraded,CBE,[]
was for use,CBE,[]
it nice apes,CBE,[]
it gives service great,CBE,['Customer Support']
why did this application stopped working at the moment,CBE,[]
the worst update seen in the bank industry for mobile banking if you re unable to make it smooth and reliable at the same time return it to previous version it shows that you don have the best expertise like other banks in the country,CBE,[]
it very good fast service provider but at the moment the system is denying me,CBE,"['Transaction Performance', 'Customer Support']"
it is fine,CBE,[]
year,CBE,[]
very good ape forever,CBE,[]
thank for the easy operating service it made life simple and accurate keep it up,CBE,['Customer Support']
this ape the best one,CBE,[]
developer option,CBE,['Feature Requests']
it not working,CBE,[]
how can device developer mood off,CBE,[]
years,CBE,[]
wat is problem,CBE,['Customer Support']
commercial bank,CBE,[]
what your problem with developer option,CBE,"['Customer Support', 'Feature Requests']"
can access this ape without turning off the developer option mode,CBE,"['Account Access', 'Feature Requests']"
always their is man function,CBE,['Feature Requests']
it slow and unused ape,CBE,['Transaction Performance']
no speed to reload,CBE,['Transaction Performance']
thanks for your,CBE,[]
its not opening,CBE,[]
very nice and fast ape,CBE,['Transaction Performance']
simple bug fix would help if current exchange rate is displayed on the ape,CBE,"['User Interface', 'Customer Support']"
the not allowing the ape while developer options is on needs to be fixed why the hell is an ape telling me what to do with my own os this is an unnecessary fix that needs to be fixed,CBE,['Feature Requests']
the recent update automatically turns the developers option on and when one starts the ape message pops up saying the ape does not work with the developers option on so one has to go to the settings and manually turn the developers option off otherwise the ape does work,CBE,['Feature Requests']
very useful ape,CBE,[]
when after updating the ape it asked me to turn off developer mode how do do that,CBE,[]
that good for me,CBE,[]
working doing vastly,CBE,[]
the poorest ape,CBE,[]
the inconvenience of this ape is that it requires developer options to be turned off this hinders my ability to customize my phone as some of the customization can only be done in the developer options also it did have this requirement before so why now and please return it how it was because this should not be an issue also when transaction is completed before it used to allow me to save the image of the completed transaction now it does so please fix that also,CBE,"['Transaction Performance', 'User Interface', 'Customer Support', 'Feature Requests']"
smart ape,CBE,[]
worst update ever it asked to disable the developer option which they don have any authority over most useless update ever wish could give it star if it was possible why do you care about my phone settings stupid developers should switch to other banks,CBE,['Feature Requests']
muftearashide,CBE,[]
wow wonderful ape thank you so much,CBE,[]
it ask me your developer mode is on and its not working for me,CBE,[]
the last update is useless,CBE,[]
it is vary good,CBE,[]
security,CBE,['Account Access']
like you this ape,CBE,[]
its good ape,CBE,[]
it is and better than,CBE,[]
the update in working,CBE,[]
as an ape developer rely on developer mode to build and test apes but this ape blocks access entirely if it enabled this restriction is unnecessary and makes it impossible for developers to use the service instead of outright blocking consider implementing enhanced security measures that don alienate professionals who need this setting please reconsider this policy,CBE,"['Account Access', 'User Interface', 'Customer Support', 'Feature Requests']"
it really helpful,CBE,['Customer Support']
no work on my device,CBE,[]
not convince in slow no,CBE,['Transaction Performance']
weak update it stops when want to set two step verification on and it is only applicable if developer options are on why please tell me the reason,CBE,['Feature Requests']
why not used on these devices,CBE,[]
updates went to dismiss the developer option,CBE,['Feature Requests']
best mobile banking ape moreover will rate stars as soon as you add account statement display menu in it hopefully waiting thank you in advance,CBE,"['Account Access', 'User Interface', 'Feature Requests']"
even it is problem to update the ape fix the issue first,CBE,['Customer Support']
god apples,CBE,[]
the review page keeps loading and even sync is completed the history page always shows old unknown transactions edited guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another years upgrade to stars,CBE,"['Transaction Performance', 'User Interface']"
simple easy platform,CBE,[]
more than years,CBE,[]
years ecxepiranes,CBE,[]
best ape from any others ape,CBE,[]
it very simple and useful for customer and also easier from other options of this bank but its hard sometimes when the net work is busy and inquiry some add update from the branch technical stuff when you want this application for critical case the application was inquiring you in wanted update,CBE,"['User Interface', 'Feature Requests']"
this ape is best if you add fingerprint or facial authentication instead of the current one,CBE,"['Account Access', 'Feature Requests']"
like this application,CBE,[]
best quality service,CBE,['Customer Support']
your service is very very nice,CBE,['Customer Support']
the worst ape have ever seen,CBE,[]
it is best duplication which real on,CBE,[]
why we can make transfer with foreign banks,CBE,['Transaction Performance']
the worst update,CBE,[]
looks great but it has no option for accessing our transaction history for some days back this makes our work bad,CBE,"['Account Access', 'Transaction Performance', 'Feature Requests']"
everything is good except that it asking me for update too much even though updated the ape many times and still mentioning that it is critical update so plus fix that,CBE,[]
difficult to update,CBE,[]
you should be boa the ape active by self so please arrange now and for activation service was pay birr this is unfair,CBE,['Customer Support']
simplest ape that have ever used,CBE,[]
this ape is the best easy and more clear to use including its features to understand so liked it because the ape made the life of customers easy thanks be and the ape,CBE,['Feature Requests']
after the update the system the requirement for minimal is not fair,CBE,['User Interface']
it so good,CBE,[]
perfect,CBE,[]
its the best and fast,CBE,['Transaction Performance']
its great,CBE,[]
good and the great,CBE,[]
not used fully amount,CBE,[]
timeout,CBE,[]
good commercial bank of ethiopia,CBE,[]
used for long time its best ape,CBE,[]
very good and easy to use,CBE,[]
have very happiness by this service thank you be,CBE,['Customer Support']
this ape is not working properly,CBE,[]
be my device don work,CBE,[]
its good enough to transaction,CBE,['Transaction Performance']
love it its simple to use,CBE,[]
lot of errors,CBE,[]
good but it needs good network,CBE,[]
simplest and good way of using internet banking it very interesting ape,CBE,[]
very good for security,CBE,['Account Access']
try to fix ur night time network setup,CBE,[]
its good works great,CBE,[]
this is the worst update ever the older version was better it has so much bug,CBE,[]
best mobile banking ape in ethiopia,CBE,[]
sometimes stack,CBE,[]
the most worst update it even does let you know ur balance it does respond quickly,CBE,['User Interface']
in the previous gave for this ape based on my evaluation this ape was without biometric security and may be exposed to cheaters unexpectedly it is solved now you can add verification security on the setting ape but there is something problem still with verification it must prevent logging in without correct input fingerprint,CBE,"['Account Access', 'Customer Support', 'Feature Requests']"
it is the best,CBE,[]
this is good happy,CBE,[]
before the new version the ape was fast and merits however following the upgrade the ape is slow and takes time to reload apes are useless without speed so make them work,CBE,"['Transaction Performance', 'Feature Requests']"
the bank you relays on,CBE,[]
this ape fast and fact every solution thanks,CBE,['Transaction Performance']
it stuck many time can transfer my own money the time need it must be update but if the sticking prevent it is great ape,CBE,['Transaction Performance']
easy to use and fast,CBE,['Transaction Performance']
it is ni ce,CBE,[]
it is very nice ape,CBE,[]
it might be fake be aware it not working,CBE,[]
rated,CBE,[]
it made life simple,CBE,[]
it easy and convenient,CBE,[]
this bank is one of worst bank stealing poor peoples money,CBE,[]
very convenient and user friendly ape love it,CBE,[]
my experience with this ape has been outstanding so far but sometimes it has hard time connecting with network and makes it hard to make transactions apart from that it amazing,CBE,['Transaction Performance']
even if had balance of could even transfer any of my balance starting from,CBE,['Transaction Performance']
best application mobile bank,CBE,[]
it is keeping to say this ape is rooted you can use it what is the problem,CBE,['Customer Support']
is this the latest be ape,CBE,[]
i can not see the receipt why,CBE,[]
how to play sierra critical,CBE,[]
it very good ape for transactions to give you star one more thing you need to do is include bank statement showing methods and one more thing after you take your commission why you take birr monthly without my confirmation,CBE,"['Transaction Performance', 'Feature Requests']"
fast ape,CBE,['Transaction Performance']
please add the biometric system on the ape,CBE,"['Account Access', 'Feature Requests']"
am so disappointed because the application does clearly show how many birr it will charge for every transaction rather than just deducted the money as user we should have the right to know the amount of money that is going to be deducted it is very deceptive tactic it should be improved immediately,CBE,"['Transaction Performance', 'Feature Requests']"
transfer to telebirr fee above birr,CBE,['Transaction Performance']
convenient and safe to use better to show more transaction history,CBE,['Transaction Performance']
best application for ever thank you very much indeed for your understanding me,CBE,[]
it takes ur money out of no where,CBE,[]
best easy ape,CBE,[]
good service for me because it saves my time there no need to go to the brunch to transfer the money my bank is going to anywhere with so can do anything on my mobile banking thanks for your service,CBE,"['Transaction Performance', 'Customer Support']"
awesome and very simple to use love it,CBE,[]
be is most fantastic and for action ape bee used every parson cab is my dream eat com for every population if you need highly educated to see about cab used ape of cab wallet with all transactions in all world bank to bee exchange rate more information with be mobile ape you can perform banking tasks anywhere at anytime commercial bank of ethiopia mobile banking the official ape of be for android be android mobile application gives you access to your account on your android phone,CBE,"['Account Access', 'Transaction Performance']"
it good but it is very busy occasionally,CBE,[]
be is great ape,CBE,[]
its weak application,CBE,[]
vary excellent but update balance not seen at time transaction,CBE,['Transaction Performance']
why it haven't birr,CBE,[]
its not work as expectations,CBE,[]
not that much good,CBE,[]
good perfect,CBE,[]
perfect,CBE,[]
great ape convenient for making payments and transactions this be,CBE,['Transaction Performance']
my all time best application,CBE,[]
year experienced on this ape,CBE,[]
it professional ape like this ape,CBE,[]
it is very good it is very useful it is problem solver,CBE,['Customer Support']
superb ape serves better than expected in remote and hardly internet connection covered areas while in the field work thanks team,CBE,[]
it amazing,CBE,[]
we noticed two key issues with your ape username visibility the ape does display the username making verification difficult please add this feature transaction history transaction history gets deleted if the ape is reinstalled this data should remain accessible unless manually deleted by the user load more option for older transactions would also be helpful these issues have caused inconvenience fixing them would greatly improve the user experience thank you,CBE,"['Account Access', 'Transaction Performance', 'User Interface', 'Customer Support', 'Feature Requests']"
this ape is just sweet,CBE,[]
it is the best application that makes life easier and provides fast service,CBE,"['Transaction Performance', 'Customer Support']"
fast and reliable,CBE,['Transaction Performance']
the good ape,CBE,[]
self transfer has problem does tell weather transferred or not after the process i ignore the final issuance of receipt,CBE,"['Transaction Performance', 'Customer Support']"
really,CBE,[]
have to log out and wait for more minutes to make another transfer get charged for not satisfactory transfer amount on some days see some transactions with different amount of transfers which don do can not transfer more than and charger for every transfer is not fair and wish to know for ethiopians where exactly is there country to live in,CBE,['Transaction Performance']
pretty straightforward does what it supposed to do wish it had beefier more detailed recent transactions though,CBE,['Transaction Performance']
the system is slow,CBE,['Transaction Performance']
this works fine nice but was wondering can see my statement from the ape,CBE,[]
it used to work fine but nowadays if try to use it after midnight it does always work either with i i or data and sometimes we gotta pay things before the dead line and boom it does work,CBE,[]
like this ape it easy to use and quite flexible it nice,CBE,['User Interface']
from my over thirty five years customer of the commercial bank of ethiopia find it to dependable bank,CBE,[]
its good bank in ethiopia,CBE,[]
it good,CBE,[]
the best banking and application,CBE,[]
feature to add beneficiary account from older version in available on this one and the greeting notification that pops out during every log in is boring,CBE,"['Account Access', 'Feature Requests']"
problems seen account banning without my permission,CBE,"['Account Access', 'Customer Support']"
like this ape it is very helpful the draw back is it does order transactions accordingly and it stops responding without any notification,CBE,"['Transaction Performance', 'Customer Support']"
sometimes it is very difficult to open,CBE,[]
it is easy comfortable and smart latest advanced digitalized application of be,CBE,[]
one of the best,CBE,[]
best ape to use money transfer,CBE,['Transaction Performance']
best in ethiopia,CBE,[]
it is very easy to use and preferable overall really liked this ape,CBE,[]
that good,CBE,[]
fantastic and very helpful,CBE,['Customer Support']
it nice,CBE,[]
really love this ape it amazing,CBE,[]
the unsubscribe button in the be android ape is misplaced it should be at the middle of the menu or somewhere else rather than at the end the end is usually for log out and inadvertently touched unsubscribe many times this could lead to customers accidentally unsubscribing from the service,CBE,"['User Interface', 'Customer Support']"
very good service,CBE,['Customer Support']
hello all ethiopian to east africa and all over the world am from ethiopia was have designed new digital transaction system in ethiopia this our money transaction to be active when we need all our transaction to any where this is also excellent way to connect by digital transaction with global country like china us italy phil et through the world we have been lucky by making great digital connection system to develop our be birr with global transaction in ethiopia,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
best ape in ethiopia,CBE,[]
interesting application,CBE,[]
the best application and easy my life,CBE,[]
amazing it easy to use,CBE,[]
very great job,CBE,[]
have no experience about this,CBE,[]
it is good but not sufficient,CBE,[]
statement is limited with one screen display there should be access to see my transactions of at least months before sometimes debit credit is not shown on the account details,CBE,"['Account Access', 'Transaction Performance', 'User Interface']"
the commercial bank of ethiopia be is pillar of financial strength and stability in ethiopia as the largest and most established bank in the country it fosters economic growth promotes financial inclusion and supports businesses of all sizes be mobile banking ape enhances convenience by enabling millions to access banking services anytime anywhere keep up good work,CBE,"['Account Access', 'Customer Support']"
am unable to open or use the application,CBE,[]
thinkbyou,CBE,[]
like this application and your banking systems,CBE,[]
wow fast network,CBE,['Transaction Performance']
it so intermittent,CBE,[]
you brought new feature which is standing order but it does have option to delete edit amount,CBE,['Feature Requests']
like this ape but it done not work so fix it please,CBE,[]
very nice,CBE,[]
very good,CBE,[]
easy and accessible easily,CBE,['Account Access']
very great application,CBE,[]
it shows limited number of transaction history and it does show transactions history in the order of arrival,CBE,['Transaction Performance']
good and better ape compared to other bank but the reward narration is committed when we make screenshoot so better to include the remark,CBE,"['User Interface', 'Feature Requests']"
the best service,CBE,['Customer Support']
very nice applications very useful ape,CBE,[]
am using the a it is amazing,CBE,[]
loved it exceptionally easy friendly interface with no adds and complicated extensions ape,CBE,"['User Interface', 'Feature Requests']"
keep the good work,CBE,[]
working very good yet than the other methods know before,CBE,[]
this ape is very interesting fast transaction and preferable system,CBE,['Transaction Performance']
avery good ape designed by be makes life easier,CBE,['User Interface']
best ethiopian bank,CBE,[]
fast service,CBE,"['Transaction Performance', 'Customer Support']"
the leading bank in ethiopia,CBE,[]
very efficient ape,CBE,[]
it better for using wherever we are,CBE,[]
liked this ape,CBE,[]
the best mobile banking in the world love it thank you but try to have more servers sometimes it is busy,CBE,[]
new technology,CBE,['Feature Requests']
bast mobile banking in ethiopia,CBE,[]
its so good ape,CBE,[]
very good for transaction,CBE,['Transaction Performance']
this good mobile banking ape ever used but it says this device is rooted you cannot run this ape on this device,CBE,[]
try to update it,CBE,[]
fantastic it has supersonic speed,CBE,['Transaction Performance']
beast,CBE,[]
such great ape,CBE,[]
it is service that is not expected from such large institution saw that your work is very complicated the user does not understand well your application in general you have many problems this application is not convenient for the end user for instance can access my account from abroad what deposited amount and transfer from my account to any any one it is shame,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
cannot access with no reason,CBE,['Account Access']
like the ape easy to use if possible please add some more features like calculator simply add one more icon with calculator function so the users can easily do some calculation without closing the ape,CBE,['Feature Requests']
it was good because of its wide area usage possibility but has so many problem with transaction daily information and availability duration,CBE,"['Transaction Performance', 'Customer Support']"
it not secure enough you don have biometric option,CBE,"['Account Access', 'Feature Requests']"
the ape only shows limited record amount of transaction it crashes again and again,CBE,['Transaction Performance']
need money,CBE,[]
that was good ape,CBE,[]
fast and easy to use simple ape at all,CBE,['Transaction Performance']
best application ever,CBE,[]
it is an amazing ape like its features,CBE,['Feature Requests']
please bring back the reason of transfer reference format on the receipt plus plus for those of us who have multiple transactions it very important to trace the receipts by looking at the references,CBE,['Transaction Performance']
commercial date,CBE,[]
no have all monthly statement,CBE,[]
love this ape it is fast and suitable for use,CBE,"['Transaction Performance', 'User Interface']"
wow ethic tell,CBE,[]
find this ape user friendly and reliable,CBE,[]
it good but in the history list it does show reason for transactions,CBE,['Transaction Performance']
this ape is not set up for diaspora users it works fine until you needed new verification code or you change your cell phone and try to use the ape on the new phone you will not be able to get the verification key that it is asking for just for changing your phone it requires you to go the nearest branch to get the verification key for me this will be travelling to ethiopia from us just to get this code even my sister joint fact holder has my power of attorney could not help me,CBE,"['User Interface', 'Customer Support', 'Feature Requests']"
which is very important,CBE,[]
please send me your details please,CBE,['Transaction Performance']
its good for digital marketing,CBE,[]
too nice ape my time saving,CBE,[]
this ape is so strong,CBE,[]
one of the best banking apes,CBE,[]
unexpected apes because this is bad unfortunately error,CBE,[]
one of the fastest ape ever used,CBE,['Transaction Performance']
your ape is so amazing,CBE,[]
discount service fee,CBE,['Customer Support']
my choice bank commercial bank of ethiopia,CBE,[]
this ape is very active and past,CBE,[]
be is great way to use it,CBE,[]
the ape very nice but it stuck by now what is the reason,CBE,[]
it reliable fast and easy to use,CBE,['Transaction Performance']
the ape is okay,CBE,[]
there is problem on application to transfer money and adjust please,CBE,"['Transaction Performance', 'Customer Support']"
it make my life easy my time my energy,CBE,[]
am happy for the service,CBE,['Customer Support']
good application commercial bank of ethiopia,CBE,[]
it is my best apes ever thank you be,CBE,[]
its very good application special with network connection however the service payment is expensive do it please justified with our economy label,CBE,"['Transaction Performance', 'Customer Support']"
ape is not working for days now,CBE,[]
tax for the team,CBE,[]
interesting application any updates should have to included timely,CBE,['Feature Requests']
excellent an that is easy to use it the bank we trust and rely be thank you audi sarah,CBE,[]
double pin request is extremely mouthful keep working on security rate,CBE,['Account Access']
am satisfied for the application,CBE,[]
the increase in the amount of the daily exchange should be increased to et instead of et,CBE,[]
it the best asks,CBE,[]
fast and easy to use by far the best mobile banking application in,CBE,['Transaction Performance']
it time consuming up for using electronic money every were,CBE,[]
very special ape,CBE,[]
it say and very fast to use and sync,CBE,['Transaction Performance']
this ape sometimes,CBE,[]
verification code website,CBE,[]
the best way like it,CBE,[]
like it but can bring for us to link with paypal please,CBE,[]
please add the fingerprint security all most the ape is very good ape,CBE,"['Account Access', 'Feature Requests']"
have been using this ape for log time since it come to existence and its its marvelous ape and usually enjoy its function and simplicity know pay everything with this ape and make my transaction all by this ape great job by be,CBE,"['Transaction Performance', 'Feature Requests']"
it good but it must add some especial item like statement or transaction list place,CBE,"['Transaction Performance', 'Feature Requests']"
this best ape,CBE,[]
fast and easy,CBE,['Transaction Performance']
trust to use,CBE,[]
it the bast ape in mobile money to transfer to receive payment use it,CBE,['Transaction Performance']
it is an interesting ape,CBE,[]
its easy to use,CBE,[]
it is very for more experience please upgrade it,CBE,[]
failed to give receipt or confirm payment,CBE,['Transaction Performance']
the best,CBE,[]
faster and convertible be ape,CBE,['Transaction Performance']
yes we can,CBE,[]
has not show recent exact information some transactions are included and others excluded bad experience always got in trouble by thinking the correct balance,CBE,"['Transaction Performance', 'Feature Requests']"
very bad application not working properly every time,CBE,[]
it safe ever,CBE,[]
it ask me update then was going to my branch they updated my mobile banking but still not working,CBE,[]
it ask kc for the rd time in one moths what wrong with your system if this thing keep going most of your customers start using other banks including my family and friends,CBE,[]
it true and is my favorite banks,CBE,[]
it is great ape,CBE,[]
this service is quality and very easy to use by any place any time also could have save my time just can say fantastic,CBE,['Customer Support']
how can trust bank that does have caber crime reporting mechanism recently traveled out of the country after week got text message stating that more than big withdrawn from my account without my knowledge when tried to download the receipt it does even work only know it was transferred to weaken bank account via pop machine please be careful and take lesson from me,CBE,"['Account Access', 'Transaction Performance']"
very good simple and easy ape thank you very much ethiopian commercial bank,CBE,[]
it is good ape but had some issue lately they ape don show transaction history properly in order of date of withdrawal you should fix that in the next update,CBE,"['Transaction Performance', 'Customer Support']"
it is great and fast ape to transfer money,CBE,['Transaction Performance']
really like this ape as it is being updated from time to time and includes multiple payment options in particular giving receipt makes it even more preferable however when it is refreshed it does not show the history of credit and deposit in order and am of the opinion that it is better if the recent history is fixed respectively according to the transaction date in the future because there is problem of confusion,CBE,"['Transaction Performance', 'Customer Support', 'Feature Requests']"
this application is very nice mobile banking agent and various transactions can be used download and use,CBE,['Transaction Performance']
if there was lesser rating have given it to this ape what with all this service charges with the amount they re charging for everything afraid we all be paying to even look in their direction,CBE,['Customer Support']
hate apes and all management of be,CBE,[]
the fast and easy to use ape there is nothing to deny about that but it has serious issue on showing transaction history like if send or receive money all find the transaction history after day when the sums message is not working at some days the issue get worse like we don't have an idea how much money we have received don't this this issue is hard to fix for you hope you will fix it on the next update the ape deserve stars tb but just want you to see this seriously thankyou,CBE,"['Transaction Performance', 'Customer Support']"
when enter values in the amount and remark fields and click the continue button encounter an error however the transaction still deducts the specified amount it is essential to test this error handling functionality,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
what trash ape trash trash trash whenever you want to use the ape after once you uninstall it or receive it from someone else it will ask you for new verification again after you clear the cache and data you will be required to ask verification code from the nearby bank physically too what shame never use this ape your account pass code is insecure in this ape stop using this ape do,CBE,"['Account Access', 'Transaction Performance', 'User Interface', 'Feature Requests']"
satisfactory,CBE,[]
not working out of ethiopia this week mine is,CBE,[]
easy and safe to use,CBE,[]
was looking for this application and finally succeeded it wonderful application to receive and send money with the speed of light thank you so much be wish you all be staffs happy new year may this year be the year of peace and prosperity for all and everyone happy ethiopian new year,CBE,"['Transaction Performance', 'Feature Requests']"
this ape is very good ape,CBE,[]
the ape only shows transaction the most frustrating it ever other banks gives you months of transactions ans statement what joke,CBE,['Transaction Performance']
it not best like abyssinia mobile bank this not show the transaction and did get notification sums text,CBE,['Transaction Performance']
easy to use and private,CBE,[]
please fix the recent transaction page it not showing recent transactions,CBE,['Transaction Performance']
wow great,CBE,[]
why can we transfer funds directly to another person telebirr wallet,CBE,['Transaction Performance']
this ape is so smart,CBE,[]
it is good ape overall but you need to improve some features like the recent transactions section which does accurately show recent transactions,CBE,"['Transaction Performance', 'Feature Requests']"
it need some listed improvements below try to display at let one month transaction try to solve weekend transaction display error failed message after few processing,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
very easy and interesting,CBE,[]
it the worst just transfer from my be account in to my tell birr account for urgent case but unfortunately it holds and there customer service workers told me it will be returned in to my be account after or working days if its not credited in to my telebirr account how that working this bank is pioneer in from the country it really annoying this happens for second time please amend your network services am totally annoyed by be,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
good application to use especially it helps me while buy and sell goods thanks,CBE,['Customer Support']
it is very friendly and easy to use,CBE,[]
user friendly application,CBE,[]
have never such disgusting ape in my life swear it does even work properly,CBE,[]
wow ape,CBE,[]
very good ape but why all the theme is just islamic,CBE,[]
it don't show the new amount after there is deposit,CBE,['Feature Requests']
use this application many time it works perfectly,CBE,[]
the be mobile banking ape is time saver but it needs several improvements like adding fingerprint authentication it risky when people see me entering my pin additionally the fees are unreasonable you could learn from tell birr which adjusts fees based on the transaction amount however the bomb ape charges flat birr fee for amounts between and birr which think is unfair,CBE,"['Account Access', 'Transaction Performance', 'Feature Requests']"
nice to meet you my bank,CBE,[]
fast service and reliable it works from everywhere across the globe love it,CBE,"['Transaction Performance', 'Customer Support']"
very convenient and easy to use,CBE,[]
used to mobile banking,CBE,[]
it is very comfortable,CBE,[]
it is the best ape like it,CBE,[]
good at all,CBE,[]
the ape does have mini statement service in my opinion don have to go to be branch to get mini statements and transactions have done and pay for it why recent transaction the ape does store numerous or enough recent transactions even it does store what stored properly sometimes,CBE,"['Transaction Performance', 'Customer Support']"
it great ape wow which like it most but please add biometric authentication,CBE,"['Account Access', 'Feature Requests']"
can describe enough how helpful it was it best version than ever mobile banking services,CBE,['Customer Support']
thank you everyone,CBE,[]
it says you are debited birr but it transfers another birr with it don understand if it under their rules,CBE,['Transaction Performance']
this is the best transaction ape,CBE,['Transaction Performance']
it functions to the most part until you need it the most common flaw is when you send money to another bank account it shows error but the money is actually gone paid twice at least times because of this,CBE,"['Account Access', 'Transaction Performance', 'Feature Requests']"
good apply,CBE,[]
best mobile banking application it makes it easy for any of my financial transactions,CBE,['Transaction Performance']
this ape is update not yet,CBE,[]
it best application to exchange our money in best speed and time saving way,CBE,['Transaction Performance']
hello facing problem with the boa mobile ape every time enter my phone number and password the ape crashes and shows an error that says bookmobile closed because this ape has bug tried updating reinstalling and clearing cache but nothing worked please fix this bug in the next update really need access to my account thank you,BOA,"['Account Access', 'Customer Support']"
this is worst ape loading,BOA,[]
this ape is not interest for android phone please update it,BOA,[]
boa system is comfortable,BOA,[]
this ape for me is waste of time it does work can even long in and it really piss me off fix the problem,BOA,['Customer Support']
good service,BOA,['Customer Support']
the ape crush frequently,BOA,[]
this ape is joke it crashes more than it works takes forever to load and half the features are just decorative at this point can log in can transfer money can even check my balance without it bugging out to the developer are you actually trying to make this work or is this some kind of social experiment to test our patience did you build this in your sleep because it definitely looks like it if this is your idea of functional ape maybe consider different career path,BOA,"['Transaction Performance', 'User Interface', 'Feature Requests']"
boa,BOA,[]
but not opening on android,BOA,[]
worst ape ever totally unreliable and it did work at all for the last months,BOA,[]
this ape does no work on samsung it just gives preview of the logo,BOA,['User Interface']
entered incorrect security question by mistake boa ape lock pin forever why is there no other options contacted different branch more then times but they did able to solve this issue,BOA,"['Account Access', 'Customer Support', 'Feature Requests']"
liking this application good,BOA,[]
this ape future is good but there is problems with apes to reset and activate it which is difficult even to the branch staffs and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and top sent not work,BOA,"['Transaction Performance', 'Customer Support']"
it really good,BOA,[]
bad ape it stuck when you open and noting works,BOA,[]
the ape in working after it asked me the password it starts loading but it does open,BOA,['Account Access']
it keeps showing this pop up to turn off developer options even tho it off had to turn on and then off to make it work this is horrible experience and needs fix asap plus kinda slow,BOA,"['Transaction Performance', 'Feature Requests']"
great boa,BOA,[]
boa of mobile backing,BOA,[]
faster bank of abyssinia,BOA,['Transaction Performance']
would have given it lower if it was possible because it crush so much and it take the bank so long to fix the bug,BOA,[]
it just does work so frustrating,BOA,[]
it not work correctly you must have update it,BOA,[]
the ape gets considerable improvements like language or scanner and unlimited transfers service but boa please do lot on its fastness and convenient when we login and making transactions,BOA,"['Account Access', 'Transaction Performance', 'Customer Support', 'Feature Requests']"
after typed in my password it says successfully logged out and goes back to the first page,BOA,['Account Access']
good but they don update enough don add new things,BOA,['Feature Requests']
thank you,BOA,[]
it does work period slowest mobile banking ever would rather use,BOA,['Transaction Performance']
after activated the application it not allowed to sign automatically it is turn off in my phone why,BOA,[]
good application,BOA,[]
this version is not working for me cannot even buy card cannot send money,BOA,['Transaction Performance']
it can actively on initialization it says incorrect top getting the exact top,BOA,[]
always problematic hardly works,BOA,['Customer Support']
considering the fact the bank is huge this ape really bad you could do better,BOA,[]
worst ape and bank ever be ashamed scammed,BOA,[]
great boa,BOA,[]
have went to the bank so many times because could make any transaction can only see my balance nothing else so what is the point of having mobile banking if can make any transaction with it please work in that,BOA,['Transaction Performance']
there is no speed,BOA,['Transaction Performance']
for anyone who wants to download it just don,BOA,[]
all work,BOA,[]
loved it,BOA,[]
